iter	Passed	Remaining
58	345	5506559	351	5504660	356	5489661	360	5450662	364	5418663	367	5380664	371	5341665	374	5298666	378	5263667	380	5221668	383	5176669	386	5137770	389	5099771	393	5066772	395	5026773	398	4986774	401	4947775	402	4895776	404	4854777	407	4813778	409	4774779	411	4735880	414	4697881	416	4660882	418	4625883	420	4590884	423	4556885	425	4522886	427	4489887	429	4455888	432	4422889	434	4394990	437	4365991	439	4341992	442	4315993	445	4291994	447	4262995	449	4235996	451	4207997	454	4180998	456	4153999	458	41271100	460	41011101	463	40771102	465	40511103	467	40271104	469	40031105	471	39791106	473	39551107	476	39321108	478	39111109	480	38891110	483	38721111	485	38511112	487	38271113	490	38081114	492	37931115	495	37761116	498	37601117	500	37411118	502	37211119	504	37011120	506	36821121	509	36651122	511	36461123	513	36291124	516	36121125	517	35921126	520	35751127	522	35591128	524	35421129	526	35251130	528	35081131	531	34951132	534	34811133	536	34691134	539	34571135	541	34431136	544	34291137	546	34141138	548	33991139	551	33861140	553	33701141	555	33571142	557	33431143	560	33291144	562	33161145	564	33021146	566	32881147	568	32751148	571	32621149	573	32481150	575	32351151	577	32211152	580	32121153	582	32011154	585	31901155	587	31811156	590	31701157	593	31601158	595	31491159	597	31371160	599	31251161	601	31131162	603	31011163	606	30901164	608	30791165	610	30671166	612	30561167	614	30451168	617	30341169	619	30241170	621	30131171	623	30021172	625	29921173	628	29831174	631	29741175	633	29651176	636	29581177	638	29501178	641	29411179	643	29301180	645	29221181	648	29121182	650	29031183	652	28941184	654	28851185	657	28751186	659	28651187	661	28571188	664	28491189	666	28391190	668	28301191	670	28221192	672	28121193	675	28041194	677	27971195	680	27901196	682	27821197	685	27761198	688	27691199	690	27622200	693	27552201	695	27462202	697	27382203	699	27302204	701	27212205	704	27142206	706	27052207	708	26972208	710	26892209	713	26822210	715	26742211	717	26662212	719	26582213	721	26502214	724	26432215	726	26372216	729	26312217	731	26252218	734	26182219	736	26112220	738	26042221	740	25962222	743	25892223	745	25812224	747	25752225	749	25672226	752	25602227	754	25532228	756	25462229	758	25392230	760	25332231	763	25262232	765	25192233	767	25112234	769	25052235	772	25012236	775	24952237	777	24892238	779	24832239	782	24782240	785	24732241	787	24672242	790	24622243	792	24552244	794	24492245	796	24422246	799	24362247	801	24292248	803	24232249	805	24172250	808	24112251	810	24052252	812	23992253	814	23922254	816	23862255	819	23812256	822	23762257	824	23712258	827	23662259	829	23602260	831	23542261	833	23482262	836	23422263	838	23372264	840	23312265	842	23252266	845	23202267	847	23132268	849	23082269	851	23022270	853	22962271	855	22902272	858	22842273	860	22792274	862	22732275	864	22682276	867	22632277	869	22592278	872	22542279	875	22502280	877	22452281	880	22412282	882	22362283	884	22312284	887	22252285	889	22202286	891	22152287	893	22092288	896	22042289	898	21992290	900	21932291	902	21882292	904	21832293	906	21772294	909	21732295	911	21672296	913	21622297	916	21582298	918	21532299	921	21493300	923	21453301	926	21413302	928	21363303	931	21323304	933	21273305	935	21213306	937	21163307	940	21123308	942	21073309	944	21023310	946	20973311	949	20923312	951	20883313	953	20833314	955	20783315	957	20733316	960	20683317	962	20643318	965	20603319	967	20563320	970	20523321	972	20483322	975	20443323	977	20403324	979	20353325	982	20303326	984	20263327	986	20203328	988	20163329	990	20113330	992	20063331	995	20023332	997	19983333	999	19933334	1002	19893335	1004	19843336	1006	19793337	1008	19753338	1011	19713339	1013	19673340	1016	19643341	1018	19593342	1021	19563343	1023	19513344	1025	19473345	1028	19433346	1030	19383347	1032	19343348	1034	19303349	1036	19253350	1039	19213351	1041	19173352	1043	19123353	1045	19083354	1047	19043355	1049	18993356	1052	18953357	1054	18903358	1056	18863359	1059	18833360	1062	18803361	1065	18773362	1067	18733363	1069	18683364	1071	18643365	1074	18613366	1076	18573367	1078	18523368	1080	18483369	1082	18443370	1085	18393371	1087	18353372	1089	18313373	1091	18263374	1093	18223375	1095	18183376	1098	18143377	1100	18103378	1102	18063379	1104	18023380	1106	17983381	1109	17943382	1110	17883383	1113	17853384	1116	17833385	1118	17793386	1120	17753387	1123	17713388	1125	17673389	1127	17633390	1129	17593391	1131	17553392	1133	17513393	1135	17473394	1137	17433395	1139	17383396	1142	17343397	1144	17303398	1146	17273399	1148	17234400	1150	17194401	1153	17154402	1155	17114403	1157	17074404	1160	17054405	1163	17014406	1165	16984407	1168	16954408	1170	16914409	1173	16884410	1174	16834411	1176	16794412	1179	16754413	1181	16724414	1183	16684415	1185	16644416	1187	16604417	1190	16574418	1192	16534419	1194	16494420	1196	16454421	1198	16414422	1200	16374423	1202	16334424	1205	16304425	1207	16274426	1210	16234427	1212	16204428	1214	16164429	1216	16124430	1219	16094431	1221	16054432	1223	16024433	1225	15984434	1227	15944435	1229	15904436	1232	15874437	1234	15834438	1236	15794439	1238	15764440	1240	15724441	1242	15684442	1244	15654443	1247	15614444	1249	15574445	1251	15544446	1254	15514447	1256	15484448	1259	15454449	1261	15424450	1264	15394451	1267	15364452	1269	15324453	1271	15294454	1273	15254455	1275	15224456	1277	15184457	1280	15144458	1282	15114459	1284	15074460	1286	15044461	1288	15004462	1290	14974463	1292	14934464	1294	14894465	1296	14864466	1299	14824467	1301	14794468	1304	14764469	1307	14734470	1309	14704471	1311	14664472	1313	14634473	1315	14594474	1317	14564475	1319	14524476	1321	14494477	1323	14454478	1325	14424479	1328	14384480	1330	14354481	1332	14314482	1334	14284483	1336	14254484	1339	14214485	1341	14184486	1343	14154487	1345	14124488	1348	14094489	1351	14064490	1354	14034491	1356	14004492	1359	13984493	1362	13954494	1364	13914495	1366	13884496	1368	13854497	1370	13814498	1373	13784499	1375	13755500	1377	13715501	1379	13685502	1381	13655503	1383	13615504	1385	13585505	1388	13555506	1390	13515507	1392	13485508	1394	13445509	1399	13445510	1403	13425511	1405	13395512	1407	13365513	1409	13325514	1411	13295515	1414	13265516	1416	13225517	1418	13195518	1420	13165519	1422	13135520	1424	13095521	1426	13065522	1428	13035523	1431	13005524	1433	12965525	1435	12935526	1437	12905527	1439	12865528	1441	12835529	1443	12805530	1446	12775531	1448	12745532	1451	12715533	1453	12685534	1456	12655535	1458	12625536	1461	12605537	1463	12565538	1465	12535539	1467	12505540	1469	12475541	1471	12435542	1473	12405543	1476	12375544	1478	12345545	1480	12305546	1482	12275547	1484	12245548	1486	12215549	1488	12185550	1491	12155551	1494	12125552	1496	12095553	1498	12065554	1501	12035555	1503	12005556	1505	11975557	1508	11945558	1510	11915559	1512	11885560	1514	11845561	1516	11815562	1518	11785563	1520	11755564	1522	11725565	1524	11695566	1526	11665567	1528	11625568	1531	11595569	1533	11565570	1535	11535571	1537	11505572	1539	11475573	1542	11445574	1544	11415575	1547	11385576	1549	11365577	1552	11335578	1554	11305579	1557	11275580	1559	11245581	1561	11215582	1563	11185583	1565	11155584	1568	11125585	1570	11095586	1572	11065587	1574	11035588	1576	11005589	1578	10965590	1580	10935591	1582	10905592	1584	10875593	1586	10845594	1589	10815595	1592	10795596	1594	10765597	1596	10735598	1598	10705599	1600	10676600	1603	10646601	1605	10616602	1607	10586603	1609	10556604	1611	10526605	1613	10496606	1616	10466607	1618	10436608	1620	10406609	1622	10376610	1624	10346611	1626	10316612	1628	10286613	1631	10256614	1633	10226615	1635	10196616	1638	10166617	1640	10146618	1642	10116619	1645	10086620	1647	10056621	1650	10036622	1653	10006623	1655	9976624	1657	9946625	1659	9916626	1661	9886627	1663	9856628	1665	9826629	1667	9796630	1670	9766631	1672	9736632	1674	9706633	1676	9676634	1678	9646635	1680	9616636	1682	9586637	1685	9566638	1687	9536639	1690	9506640	1692	9486641	1694	9456642	1697	9426643	1699	9396644	1701	9366645	1703	9336646	1705	9306647	1708	9276648	1710	9246649	1712	9216650	1714	9186651	1716	9166652	1718	9136653	1720	9106654	1722	9076655	1724	9046656	1726	9016657	1728	8986658	1730	8956659	1733	8936660	1736	8906661	1738	8876662	1741	8856663	1743	8826664	1746	8796665	1748	8766666	1750	8746667	1753	8716668	1755	8686669	1757	8656670	1759	8626671	1761	8596672	1763	8566673	1765	8536674	1767	8516675	1769	8486676	1772	8456677	1774	8426678	1776	8396679	1778	8366680	1780	8346681	1783	8316682	1785	8286683	1788	8266684	1790	8236685	1793	8206686	1795	8176687	1797	8156688	1799	8126689	1802	8096690	1805	8076691	1807	8046692	1809	8016693	1811	7986694	1813	7956695	1815	7936696	1817	7906697	1820	7876698	1822	7846699	1824	7817700	1826	7797701	1829	7767702	1832	7747703	1835	7717704	1837	7687705	1840	7667706	1843	7637707	1845	7617708	1847	7587709	1849	7557710	1851	7527711	1854	7507712	1856	7477713	1858	7447714	1860	7417715	1862	7387716	1864	7367717	1866	7337718	1868	7307719	1871	7277720	1873	7247721	1875	7227722	1878	7197723	1880	7167724	1883	7147725	1886	7117726	1888	7097727	1891	7067728	1893	7037729	1895	7017730	1897	6987731	1899	6957732	1901	6927733	1904	6907734	1906	6877735	1908	6847736	1910	6817737	1912	6797738	1914	6767739	1916	6737740	1918	6707741	1920	6677742	1922	6657743	1925	6627744	1927	6597745	1930	6577746	1932	6547747	1935	6527748	1937	6497749	1940	6467750	1942	6447751	1944	6417752	1946	6387753	1948	6357754	1950	6337755	1953	6307756	1955	6277757	1957	6247758	1959	6227759	1961	6197760	1964	6167761	1966	6147762	1968	6117763	1970	6087764	1972	6057765	1974	6037766	1977	6007767	1980	5987768	1983	5957769	1985	5937770	1987	5907771	1989	5877772	1991	5847773	1994	5827774	1996	5797775	1998	5767776	2000	5747777	2002	5717778	2004	5687779	2006	5657780	2008	5637781	2011	5607782	2013	5577783	2015	5557784	2017	5527785	2019	5497786	2022	5477787	2024	5447788	2027	5427789	2029	5397790	2031	5367791	2034	5347792	2036	5317793	2038	5287794	2040	5267795	2043	5237796	2045	5207797	2047	5187798	2049	5157799	2051	5128800	2053	5108801	2055	5078802	2058	5048803	2060	5028804	2062	4998805	2064	4968806	2066	4948807	2068	4918808	2071	4898809	2074	4868810	2076	4838811	2078	4818812	2081	4788813	2083	4768814	2085	4738815	2088	4708816	2090	4688817	2092	4658818	2094	4628819	2096	4608820	2098	4578821	2100	4548822	2102	4528823	2104	4498824	2106	4468825	2109	4448826	2111	4418827	2113	4398828	2115	4368829	2118	4338830	2120	4318831	2123	4288832	2125	4268833	2128	4238834	2130	4218835	2133	4188836	2135	4158837	2137	4138838	2139	4108839	2142	4088840	2143	4058841	2145	4028842	2147	4008843	2150	3978844	2152	3948845	2154	3928846	2156	3898847	2158	3868848	2160	3848849	2163	3818850	2165	3798851	2167	3768852	2170	3748853	2173	3718854	2175	3688855	2177	3668856	2179	3638857	2181	3618858	2183	3588859	2185	3558860	2188	3538861	2190	3508862	2192	3488863	2194	3458864	2196	3428865	2198	3408866	2200	3378867	2203	3358868	2205	3328869	2207	3298870	2209	3278871	2211	3248872	2214	3228873	2216	3198874	2219	3178875	2221	3148876	2224	3118877	2226	3098878	2229	3068879	2231	3048880	2233	3018881	2235	2998882	2237	2968883	2239	2938884	2241	2918885	2243	2888886	2246	2868887	2248	2838888	2250	2808889	2252	2788890	2254	2758891	2256	2738892	2258	2708893	2261	2688894	2263	2658895	2266	2638896	2268	2608897	2270	2578898	2273	2558899	2275	2529900	2277	2509901	2279	2479902	2281	2459903	2283	2429904	2285	2399905	2287	2379906	2290	2349907	2292	2329908	2294	2299909	2296	2279910	2298	2249911	2300	2229912	2303	2199913	2305	2169914	2307	2149915	2309	2119916	2312	2099917	2314	2069918	2316	2049919	2319	2019920	2322	1999921	2324	1969922	2326	1949923	2328	1919924	2330	1889925	2333	1869926	2335	1839927	2337	1819928	2339	1789929	2341	1769930	2343	1739931	2346	1719932	2348	1689933	2350	1669934	2352	1639935	2354	1609936	2356	1589937	2359	1559938	2361	1539939	2363	1509940	2366	1489941	2369	1459942	2371	1439943	2373	1409944	2375	1389945	2377	1359946	2379	1339947	2382	1309948	2384	1289949	2386	1259950	2388	1239951	2390	1209952	2392	1189953	2394	1159954	2397	1129955	2399	1109956	2401	1079957	2403	1059958	2405	1029959	2408	1009960	2411	979961	2413	959962	2415	929963	2418	909964	2421	879965	2423	859966	2425	829967	2427	809968	2429	779969	2431	759970	2433	729971	2435	709972	2438	679973	2440	659974	2442	629975	2444	609976	2446	579977	2448	559978	2450	529979	2453	509980	2455	479981	2457	459982	2460	429983	2462	409984	2465	379985	2467	359986	2469	329987	2471	309988	2473	279989	2476	259990	2478	229991	2480	209992	2482	179993	2484	149994	2486	129995	2488	9
996	2491	7
997	2493	4
998	2495	2
999	2497	0
960	7469	303
961	7475	295
962	7482	287
963	7488	279
964	7494	271
