iter	Logloss
0	0.6365861075
1	0.5863431658
2	0.5527958461
3	0.5216987065
4	0.477721296
5	0.4500471933
6	0.417408044
7	0.3851161412
8	0.3618341173
9	0.3373406001
10	0.315989903
11	0.29489648
12	0.2737941742
13	0.2615417753
14	0.2445065362
15	0.2326155526
16	0.2183818408
17	0.2054448264
18	0.1949157306
19	0.1853189468
20	0.1734845298
21	0.1630304473
22	0.1561477389
23	0.1464604242
24	0.1388295991
25	0.1320015499
26	0.1256270272
27	0.1167454175
28	0.110828243
29	0.1065778392
30	0.101602057
31	0.09714354106
32	0.09105893544
33	0.08747302464
34	0.08434380123
35	0.08116974149
36	0.07826262202
37	0.07503151212
38	0.07092348507
39	0.06688969476
40	0.06536043712
41	0.06278221948
42	0.06024139949
43	0.05850078719
44	0.05622842652
45	0.05473048346
46	0.05291360106
47	0.05162247249
48	0.0499252149
49	0.04810122081
50	0.04700248241
51	0.04570567267
52	0.04441321237
53	0.04328976699
54	0.04228198869
55	0.04131058284
56	0.04048182283
57	0.03958577429
58	0.03869080544
59	0.03777209009
60	0.03679919924
61	0.03564560413
62	0.03498084886
63	0.03412182672
64	0.03349229949
65	0.03249283859
66	0.03143183844
67	0.0305977072
68	0.0301461901
69	0.0292530707
70	0.0289169584
71	0.02839001928
72	0.02768003941
73	0.02694340433
74	0.02630860806
75	0.02587080513
76	0.02521773066
77	0.02481555939
78	0.02450360741
79	0.02403695924
80	0.02358730521
81	0.02302535943
82	0.02230611869
83	0.02175754649
84	0.02136370795
85	0.02105045319
86	0.02061515876
87	0.02023784433
88	0.02001319613
89	0.01975138869
90	0.01952845539
91	0.01922220503
92	0.01899776799
93	0.01869205407
94	0.01844382286
95	0.01809745005
96	0.01785478933
97	0.01750627756
98	0.01727465221
99	0.01704451016
100	0.01689595495
101	0.01661721809
102	0.01635979584
103	0.01604969842
104	0.01584785325
105	0.01557922023
106	0.01531426907
107	0.01513900076
108	0.01489906311
109	0.01471085208
110	0.01457088845
111	0.01436742374
112	0.01420496106
113	0.01412214381
114	0.01398092083
115	0.01376338601
116	0.01359632526
117	0.01345609597
118	0.01330258846
119	0.01317126921
120	0.01297668559
121	0.01287172692
122	0.01268173286
123	0.01256661075
124	0.01246669803
125	0.01233855316
126	0.0122552463
127	0.01213016765
128	0.01199962071
129	0.01183390362
130	0.01157542127
131	0.01138900518
132	0.01121571915
133	0.01111613682
134	0.01096202987
135	0.01084245528
136	0.0107405901
137	0.01066316366
138	0.01055178387
139	0.01040265986
140	0.01032467059
141	0.01023511887
142	0.01015070762
143	0.01009249347
144	0.009958703177
145	0.009861231702
146	0.009738388232
147	0.009666541645
148	0.00956924728
149	0.009519030367
150	0.009445762634
151	0.009337908881
152	0.009137984685
153	0.009081266608
154	0.008991692747
155	0.008918299845
156	0.008834573201
157	0.008767507757
158	0.008693679741
159	0.008635507311
160	0.008559266159
161	0.008478191921
162	0.008401398148
163	0.008252958741
164	0.008173710959
165	0.008062808854
166	0.007982182503
167	0.007937010697
168	0.007884431737
169	0.007823591573
170	0.007772567442
171	0.007682670014
172	0.007622555324
173	0.007549050025
174	0.007461104223
175	0.007356180464
176	0.007270357438
177	0.00717660955
178	0.007113768373
179	0.006968985711
180	0.006915552701
181	0.00677608507
182	0.006708745446
183	0.0066623262
184	0.006547102758
185	0.006495521324
186	0.006392406992
187	0.00633799008
188	0.006291616389
189	0.006235506705
190	0.006192832759
191	0.006159102917
192	0.006086799077
193	0.006066290821
194	0.006025124873
195	0.005987627166
196	0.005938042062
197	0.005907012735
198	0.005877680438
199	0.005824994189
